City,Event Name,Host Name,Category,Date,Time,Location,Booking URL,Age Limit,Language,Event Description,Images (Links)
gurugram,spacetech festival pre party ,flub entertainment,music,9-May,9pm,"
ROOM XO Gurgaon

2nd Floor, Xo Bar, Aipl Joy Central A unit of Studio, Sector 65, Gurugram, Haryana 122002, India",https://allevents.in/mobile/amp-event.php?event_id=80003636137971&utm_source=chatgpt.com,,,"Step into a cosmic realm of electrifying beats and galactic vibes at SPACETECH PRE PARTY - delhi
",
new delhi ,raat ka sama ,"singer- sagar sawarkar , supriya joshi",Bollywood Music Night,9-May,5:30 PM,Delhi,https://in.bookmyshow.com/events/raat-ka-sama/ET00492225?utm_source=chatgpt.com,all ,hindi ,best of bollywood hits ,
new delhi ,jamming night ,,music ,9-May,7:00 PM,"The Beer Cafe, Sector 129: Noida",https://allevents.in/new-delhi/jamming-night/3900030010015810,21,"eng , hindi",jamming night ,
noida ,baithak,akansha grover,music,10-May,7:30pm,noida,https://allevents.in/new-delhi/baithak-live-by-akanksha-grover/3900029891164333,18,hindi ,soulful ghazals and timeless old melodies with Akanksha Grover.,
new delhi ,tabla poetry live,main karacter studios ,music,9-May,7'30pm,delhi : ghalib auditorium,https://allevents.in/new-delhi/tabla-poetry-live/3900029908299902,16,hindi ,"Poetry meets Tabla.
",
delhi,FATOTSAV - A Hard Techno Ritual,Mad king Festival,music,09 May , 10:00 PM,"Delhi, India, New Delhi",https://allevents.in/new-delhi/fatotsav-a-hard-techno-ritual-tickets/80002226226289,all ,,FATOTSAV — A Hard Techno Experience,
noida ,pitaara : sufi baithak,pitaara,music,09 May ,6:30 PM,"Theatre Space Noida by Theatrically: Noida, New Delhi, DL, India",https://allevents.in/new-delhi/pitaara-sufi-baithak-an-intimate-night-of-music/3900029995874249,5,"hindi,eng",An Intimate Night of Music,
delhi,PRATYUSH CHAUBEY- live,the comedy theater,comedy,9-May,8pm,The Comedy Theatre - Hauz Khass Village: Delhi,https://allevents.in/new-delhi/pratyush-chaubey-live/3900029947751102,none,hindi,comedy ,
delhi,QS Discover Master's Fair,QS TopMBA,business,9-May,2pm,QS Discover Master's Fair,https://allevents.in/new-delhi/qs-discover-masters-fair-in-new-delhi/100001984540156029,none,,business,
new delhi ,QS Connect MBA Fair,QS TopMBA,business,9-May,11:30am,Le Méridien New Delhi,https://allevents.in/new-delhi/qs-connect-mba-fair-in-new-delhi/100001984867390797,none,,business,
gurugram,STARTUP NETWORKING ,GLOBAL STARTUPS CLUB,business,9-May,10:30 AM," Dundahera Village, Sector 20, Gurugram",https://allevents.in/gurugram/global-startups-club-l-startup-networking-gurugram-2026-tickets/80006540400941,none,,"Networking accesses
Business Speed Dating
30 sec Elevator Pitch for Startups",
gurugram,business networking,MOJO CAPITAL,business,9-May,10:30am,"HARTRON, IAMAI, Nasscom
Plot No1, Udyog Vihar, Phase I, Dundahera Village, Sector 20, Gurugram",https://allevents.in/gurugram/gurugram-business-network-%7C-business-networking-2026-tickets/80001983896225,none,,Gurugram Business Network the ultimate meetup for professionals,
noid ,ART KARAT JEWELLERY SHOW,Art Karat,FASHION,,,,,,,,
Noida,JUNGLE WALKATHON,NOBLE FOUNDATION TRUST ,adventure,10-May,6am,"Under, Mahamaya Flyover, Sector 94, Noida, Uttar Pradesh 201301",https://allevents.in/noida/jungle-walkathon-2026-tickets/80001020745334,,,an exciting experience to all participants to walk and run through the green lush Jungle park ,
new delhi ,Kavi Sammelan delhi by kavi vennu,Urmila Devi,kavi sammelan,10-May,11:30 AM,"18-19, Bhai Vir Singh Marg, Sector 2, Gole Market, New Delhi, ",https://allevents.in/new-delhi/kavi-sammelan-delhi-by-kavi-vennu-tickets/80003142998354,,,sammelen,
