source_host,url,canonical_url,title,description,start_date,end_date,venue,address,city_guess,price,currency,image,images,organizer,tags,scraped_at
www.district.in,https://www.district.in/events/comedy-circus-gurgaon-a-standup-comedy-lineup-show-sep9-2025-buy-tickets,https://www.district.in/events/comedy-circus-gurgaon-a-standup-comedy-lineup-show-sep9-2025-buy-tickets,Comedy Circus Gurgaon | A Standup Comedy Lineup Show,Buy Tickets for Comedy Circus Gurgaon | A Standup Comedy Lineup Show !,,,,,,,,"https://media.insider.in/image/upload/c_crop,g_custom/v1757417781/fifkq4i6i0donqpq7xg3.jpg","[""https://media.insider.in/image/upload/c_crop,g_custom/v1757417781/fifkq4i6i0donqpq7xg3.jpg""]",,,2026-05-17T11:02:35.376Z
www.district.in,https://www.district.in/events/noida-comedy-show-sec18-sep10-2025-buy-tickets,https://www.district.in/events/noida-comedy-show-sec18-sep10-2025-buy-tickets,Noida Comedy Show | Sec-18,Buy Tickets for Noida Comedy Show | Sec-18!,,,,,,,,"https://media.insider.in/image/upload/c_crop,g_custom/v1757324102/ajqcgojig4fmwn1jcbti.png","[""https://media.insider.in/image/upload/c_crop,g_custom/v1757324102/ajqcgojig4fmwn1jcbti.png""]",,,2026-05-17T11:02:35.434Z
www.district.in,https://www.district.in/events/super-8-a-standup-comedy-lineup-show-aug27-2025-buy-tickets,https://www.district.in/events/super-8-a-standup-comedy-lineup-show-aug27-2025-buy-tickets,Super 8: A Stand-Up Comedy Lineup Show,Buy Tickets for Super 8: A Stand-Up Comedy Lineup Show!,,,,,,,,"https://media.insider.in/image/upload/c_crop,g_custom/v1760009381/tfdsb2yqncfxhmukbtly.jpg","[""https://media.insider.in/image/upload/c_crop,g_custom/v1760009381/tfdsb2yqncfxhmukbtly.jpg""]",,,2026-05-17T11:02:35.427Z
www.district.in,https://www.district.in/events/all-star-lineup-comedy-show-mar6-2025-buy-tickets,https://www.district.in/events/all-star-lineup-comedy-show-mar6-2025-buy-tickets,All Star Lineup Comedy Show,Buy Tickets for All Star Lineup Comedy Show!,,,,,,,,"https://media.insider.in/image/upload/c_crop,g_custom/v1741164133/z8etonq2uhge4czkrtez.png","[""https://media.insider.in/image/upload/c_crop,g_custom/v1741164133/z8etonq2uhge4czkrtez.png""]",,,2026-05-17T11:02:35.489Z
www.district.in,https://www.district.in/events/adult-rated-show-an-unfiltered-jokes-night-jan4-2025-buy-tickets,https://www.district.in/events/adult-rated-show-an-unfiltered-jokes-night-jan4-2025-buy-tickets,Adult- Rated Show: An Unfiltered Jokes Night,Buy Tickets for Adult- Rated Show: An Unfiltered Jokes Night!,,,,,,,,"https://media.insider.in/image/upload/c_crop,g_custom/v1752319996/o10sxfh8zwulk4wxweak.jpg","[""https://media.insider.in/image/upload/c_crop,g_custom/v1752319996/o10sxfh8zwulk4wxweak.jpg""]",,,2026-05-17T11:02:35.726Z
www.district.in,https://www.district.in/events/comedy-show-ft-various-artist-dec20-2025-buy-tickets,https://www.district.in/events/comedy-show-ft-various-artist-dec20-2025-buy-tickets,Comedy Show Ft. Various Artist,Buy Tickets for Comedy Show Ft. Various Artist!,,,,,,,,"https://media.insider.in/image/upload/c_crop,g_custom/v1765972884/nxsdammzsoobj52bmswf.png","[""https://media.insider.in/image/upload/c_crop,g_custom/v1765972884/nxsdammzsoobj52bmswf.png""]",,,2026-05-17T11:02:35.764Z
www.district.in,https://www.district.in/events/comedy-shows-in-gurgaon-book-tickets,https://www.district.in/events/comedy-shows-in-gurgaon-book-tickets,Book Tickets for Comedy Shows in Gurgaon Now! | District,Discover and book tickets for the best Comedy Shows events in Gurgaon. Don&#x27;t miss out on the latest happenings in your city!,,,,,,,,https://b.zmtcdn.com/data/edition_assets/1731516000703.png,"[""https://b.zmtcdn.com/data/edition_assets/1731516000703.png""]",,,2026-05-17T11:02:35.762Z
www.district.in,https://www.district.in/events/ipl-ticket-booking,https://www.district.in/events/ipl-ticket-booking,TATA IPL 2026 Ticket Booking | District by Zomato,"Book TATA IPL 2026 tickets online on District by Zomato. Schedule, venues, ticket prices and instant booking.",,,,,,,,https://b.zmtcdn.com/data/edition_assets/1731516000703.png,"[""https://b.zmtcdn.com/data/edition_assets/1731516000703.png""]",,,2026-05-17T11:02:36.169Z
www.district.in,https://www.district.in/events/tata-ipl-2026-match-62--delhi-capitals-vs-rajasthan-royals-buy-tickets,https://www.district.in/events/tata-ipl-2026-match-62--delhi-capitals-vs-rajasthan-royals-buy-tickets,TATA IPL 2026: Match 62 | Delhi Capitals vs Rajasthan Royals,Buy Tickets for TATA IPL 2026: Match 62 | Delhi Capitals vs Rajasthan Royals!,,,,,Delhi,,,"https://media.insider.in/image/upload/c_crop,g_custom,q_auto/v1778487430/folpts69uhnkf9zsbwza.jpg","[""https://media.insider.in/image/upload/c_crop,g_custom,q_auto/v1778487430/folpts69uhnkf9zsbwza.jpg""]",,,2026-05-17T11:02:36.142Z
www.district.in,https://www.district.in/events/isl-2025-26-sporting-club-delhi-vs-inter-kashi-fc-buy-tickets,https://www.district.in/events/isl-2025-26-sporting-club-delhi-vs-inter-kashi-fc-buy-tickets,ISL 2025-26: Sporting Club Delhi vs Inter Kashi FC,Buy Tickets for ISL 2025-26: Sporting Club Delhi vs Inter Kashi FC!,,,,,Delhi,,,"https://media.insider.in/image/upload/c_crop,g_custom,q_auto/v1778355275/aumwn5ajgcsgjqasyo8f.jpg","[""https://media.insider.in/image/upload/c_crop,g_custom,q_auto/v1778355275/aumwn5ajgcsgjqasyo8f.jpg""]",,,2026-05-17T11:02:36.107Z
