source_host,url,canonical_url,title,description,start_date,end_date,venue,address,city_guess,price,currency,image,images,organizer,tags,scraped_at
www.district.in,https://www.district.in/events/noida-comedy-show-sec18-sep10-2025-buy-tickets,https://www.district.in/events/noida-comedy-show-sec18-sep10-2025-buy-tickets,Noida Comedy Show | Sec-18,"A laughter-packed night with some of the funniest comics—lineup’s a surprise, but the laughs are guaranteed.",2026-05-17T15:30:00.000Z,2026-05-22T16:45:00.000Z,Comedy Club Sector 18 Noida,,,299 onwards,INR,"https://media.insider.in/image/upload/c_crop,g_custom/v1757324102/ajqcgojig4fmwn1jcbti.png","[""https://media.insider.in/image/upload/c_crop,g_custom/v1757324102/ajqcgojig4fmwn1jcbti.png"",""https://media.insider.in/image/upload/c_crop,g_custom/v1757324125/kaw7yvfkd3rx8d4czevc.png""]",Shalu Rani,Noida Comedy Show | Sec-18|Comedy|Standup,2026-05-17T13:57:50.558Z
www.district.in,https://www.district.in/events/comedy-circus-gurgaon-a-standup-comedy-lineup-show-sep9-2025-buy-tickets,https://www.district.in/events/comedy-circus-gurgaon-a-standup-comedy-lineup-show-sep9-2025-buy-tickets,Comedy Circus Gurgaon | A Standup Comedy Lineup Show,Fresh stand-up. Handpicked comics. Brand-new jokes every day.  Artist line-ups are rotated daily based on availability.,2026-05-17T14:15:00.000Z,2026-06-01T17:45:00.000Z,Nerds of Comedy Studio,Gurugram,Gurugram,299 onwards,INR,"https://media.insider.in/image/upload/c_crop,g_custom/v1757417781/fifkq4i6i0donqpq7xg3.jpg","[""https://media.insider.in/image/upload/c_crop,g_custom/v1757417781/fifkq4i6i0donqpq7xg3.jpg"",""https://media.insider.in/image/upload/c_crop,g_custom/v1765377137/rweogo5ktamspi51q5mm.jpg"",""https://media.insider.in/image/upload/w_800/v1770378796/uka592uue6fcubyaboen.jpg"",""https://media.insider.in/image/upload/w_800/v1770378796/ftnamqna00dlitjfw0rt.jpg"",""https://media.insider.in/image/upload/w_800/v1770378796/aexpm2nx4fadcbiulrke.jpg"",""https://media.insider.in/image/upload/w_800/v1770379200/nlmfb7uxfidmu1uasixj.jpg"",""https://media.insider.in/image/upload/w_800/v1770379250/ctgzhtr5ofi4rm5juvqr.jpg"",""https://media.insider.in/image/upload/w_800/v1774023938/yfa7unhyu8qszlfaqxho.jpg"",""https://media.insider.in/image/upload/w_800/v1774023939/vnfbupxjdbs5bdr3wvcf.jpg"",""https://media.insider.in/image/upload/w_800/v1774023939/prelpyb30cu9omxlrzl4.jpg"",""https://media.insider.in/image/upload/w_800/v1774023941/yf7ovc8cwjuufg8v4tre.jpg"",""https://media.insider.in/image/upload/w_800/v1774023952/oq22xeyn8jz6z6akbmdq.jpg"",""https://media.insider.in/image/upload/w_800/v1774023969/hgigl8mgqmm5ah6ggwar.jpg"",""https://media.insider.in/image/upload/w_800/v1774023972/ymnqemcdzagftbkzy1ab.jpg"",""https://media.insider.in/image/upload/w_800/v1774023973/wncvuybtfviy3se8zdkk.jpg"",""https://media.insider.in/image/upload/w_800/v1774023974/jelvlboxlieofqkhyqxn.jpg"",""https://media.insider.in/image/upload/w_800/v1774023986/e1hwtiohploxhnvnvxdi.jpg"",""https://media.insider.in/image/upload/w_800/v1774023992/x7aczsku60urdpmw44gs.jpg""]",Lalit Bhatia,Comedy Circus Gurgaon | A Standup Comedy Lineup Show|Comedy|Standup,2026-05-17T13:57:50.451Z
www.district.in,https://www.district.in/events/super-8-a-standup-comedy-lineup-show-aug27-2025-buy-tickets,https://www.district.in/events/super-8-a-standup-comedy-lineup-show-aug27-2025-buy-tickets,Super 8: A Stand-Up Comedy Lineup Show,"Super 8 is our finest curation of the 8 hottest comics in the scene.   The lineups might differ depending   on availability, but the excellence won't.    Want to hear your favourite artist's fresh jokes, and thoughts so novel they echo with you even after the night's over?  Are you a connoisseur of fresh talent? Because this show features our handpicked list which is fire on stage.  Come for the ultimate setting of live stand-up in the heart of the finest underground comedy club in town.",2026-05-17T14:15:00.000Z,2026-06-01T17:30:00.000Z,Nerds of Comedy Studio,Gurugram,Gurugram,199 onwards,INR,"https://media.insider.in/image/upload/c_crop,g_custom/v1760009381/tfdsb2yqncfxhmukbtly.jpg","[""https://media.insider.in/image/upload/c_crop,g_custom/v1760009381/tfdsb2yqncfxhmukbtly.jpg"",""https://media.insider.in/image/upload/c_crop,g_custom/v1765279044/h6ojaeiuw9b19ojbcfvt.jpg""]",Lalit Bhatia,Super 8: A Stand-Up Comedy Lineup Show|Comedy|Standup,2026-05-17T13:57:50.584Z
www.district.in,https://www.district.in/events/comedy-show-ft-various-artist-dec20-2025-buy-tickets,https://www.district.in/events/comedy-show-ft-various-artist-dec20-2025-buy-tickets,Comedy Show Ft. Various Artist,"This stand-up comedy show brings fresh humor and relatable stories to the stage. From daily overthinking to modern relationships, every joke feels familiar.The punchlines are quick, the energy is high, and the laughs are real.  Expect honest comedy with zero filters and maximum fun. Perfect for a night out that actually feels worth it.",2026-05-17T11:30:00.000Z,2026-05-17T17:00:00.000Z,The Spotlight Studio,New Delhi,New Delhi,299 onwards,INR,"https://media.insider.in/image/upload/c_crop,g_custom/v1765972884/nxsdammzsoobj52bmswf.png","[""https://media.insider.in/image/upload/c_crop,g_custom/v1765972884/nxsdammzsoobj52bmswf.png"",""https://media.insider.in/image/upload/c_crop,g_custom/v1765972993/blto02jfswhv4r4zkslc.png""]",Pankaj Manchanda,Comedy Show Ft. Various Artist|Comedy|Standup|Roast,2026-05-17T13:57:50.807Z
www.district.in,https://www.district.in/events/all-star-lineup-comedy-show-mar6-2025-buy-tickets,https://www.district.in/events/all-star-lineup-comedy-show-mar6-2025-buy-tickets,All Star Lineup Comedy Show,"The poster does not provide any indication or suggestion of who will be in the lineup.  &nbsp;It is a surprising lineup, and depending on your luck, you may get to see your favorite artist. You may find some famous acts, including these, on the poster in the show, and you might not.   A curated stand-up comedy show, in which you get a chance to witness some of the best comics from all over INDIA. The lineup for the show is always a mystery. Grab your passes and try your luck to watch most seasoned comics like Jeeveshu Ahluwalia, Pratyush Chaubey, Vijay Yadav, Manik Mahana, Gaurav Kapoor, Akash Mehta, Nishant Suri, Samay Raina, Rajat Chauhan, Rakesh Addlakha, Yash Rathi, Jaspreet Singh, Biswa Kalyan Rath, Haseeb Khan etc.... share the same stage in the same hour.",2026-05-17T14:30:00.000Z,2026-05-17T19:30:00.000Z,The Joke Theatre,,,3 onwards,INR,"https://media.insider.in/image/upload/c_crop,g_custom/v1741164133/z8etonq2uhge4czkrtez.png","[""https://media.insider.in/image/upload/c_crop,g_custom/v1741164133/z8etonq2uhge4czkrtez.png"",""https://media.insider.in/image/upload/c_crop,g_custom/v1741164163/o4j30dxn5u4qku4gayzu.png""]",Gigs Live Entertainment Private Limited,All Star Lineup Comedy Show|Comedy|Standup,2026-05-17T13:57:50.915Z
www.district.in,https://www.district.in/events/hand-picked-a-surprise-lineup-show-jul11-2025-buy-tickets,https://www.district.in/events/hand-picked-a-surprise-lineup-show-jul11-2025-buy-tickets,Hand Picked- A Surprise Lineup Show,"A surprise comedy lineup — no names revealed! You might catch your favorite artist or discover a new favorite. Big names may be on the show… or not.    The Project Comedy presents Handpicked – an epic comedy night featuring some of the finest comics from Delhi NCR and a few surprise celebrity acts.   We’re talking about a power-packed lineup of the funniest folks in town, all ready to set the stage on fire with fresh jokes, wild punchlines, and the kind of laughter therapy you didn’t know you needed.   Whether you're a hardcore comedy fan or just looking for a fun night out, this is the show you don't want to miss. Who knows — your favorite comic might just drop in for a surprise set!",2026-05-17T14:30:00.000Z,2026-05-20T15:45:00.000Z,The Project Comedy,Gurugram,Gurugram,199 onwards,INR,"https://media.insider.in/image/upload/c_crop,g_custom/v1773761036/wiugpxskzj28d4qgr2ke.png","[""https://media.insider.in/image/upload/c_crop,g_custom/v1773761036/wiugpxskzj28d4qgr2ke.png"",""https://media.insider.in/image/upload/c_crop,g_custom/v1773761453/xmg8sayu1lkvjljm9hoy.png""]",Par Entertainment Private Limited,Hand Picked- A Surprise Lineup Show|Comedy|Standup,2026-05-17T13:57:51.034Z
www.district.in,https://www.district.in/events/comedy-shows-in-gurgaon-book-tickets,https://www.district.in/events/comedy-shows-in-gurgaon-book-tickets,Book Tickets for Comedy Shows in Gurgaon Now! | District,Discover and book tickets for the best Comedy Shows events in Gurgaon. Don&#x27;t miss out on the latest happenings in your city!,,,,,,,,https://b.zmtcdn.com/data/edition_assets/1731516000703.png,"[""https://b.zmtcdn.com/data/edition_assets/1731516000703.png""]",,,2026-05-17T13:57:51.094Z
www.district.in,https://www.district.in/events/ipl-ticket-booking,https://www.district.in/events/ipl-ticket-booking,TATA IPL 2026 Ticket Booking | District by Zomato,"Book TATA IPL 2026 tickets online on District by Zomato. Schedule, venues, ticket prices and instant booking.",,,,,,,,https://b.zmtcdn.com/data/edition_assets/1731516000703.png,"[""https://b.zmtcdn.com/data/edition_assets/1731516000703.png""]",,,2026-05-17T13:57:51.518Z
www.district.in,https://www.district.in/events/anime-india-delhi-2026-buy-tickets,https://www.district.in/events/anime-india-delhi-2026-buy-tickets,Anime India | Delhi,$23,2026-06-06T04:30:00.000Z,2026-06-07T15:30:00.000Z,Yashobhoomi,Delhi,Delhi,0,INR,"https://media.insider.in/image/upload/c_crop,g_custom/v1772271126/rdinrtejfl2bacyznpot.png","[""https://media.insider.in/image/upload/c_crop,g_custom/v1772271126/rdinrtejfl2bacyznpot.png"",""https://media.insider.in/image/upload/c_crop,g_custom/v1772279591/rbapwk1pjoxuszid4tmf.png"",""https://media.insider.in/image/upload/w_1000/v1773382080/jwf8ju3izsdze3x84fxi.png"",""https://media.insider.in/image/upload/w_800/v1772433934/pjnwq3yxky1auaecqelr.jpg"",""https://media.insider.in/image/upload/w_1000/v1773382080/pmklsvx0qobwklahx7cl.png"",""https://media.insider.in/image/upload/w_800/v1772433934/s5xnkgeuzy4ad5xtdghb.jpg"",""https://media.insider.in/image/upload/w_800/v1772433934/yz9x4wq9wijtn80xp997.jpg"",""https://media.insider.in/image/upload/w_800/v1772433934/jeiarkntv5frmjp7otqx.jpg"",""https://media.insider.in/image/upload/w_800/v1772433934/sywbg3gcemx5qxki94lt.jpg"",""https://media.insider.in/image/upload/w_800/v1772439996/hbfe9iwmnhrsrfp4jt2g.jpg"",""https://media.insider.in/image/upload/w_800/v1772439996/cfwq0dypq6xebj5z8wev.jpg"",""https://media.insider.in/image/upload/w_800/v1772439997/q8hssis1rcg2jaczifb1.jpg"",""https://media.insider.in/image/upload/w_800/v1772439997/wpr9qdghtboptoorbikb.jpg"",""https://media.insider.in/image/upload/w_800/v1772692286/mhky6zlhhd0goeuaoimq.jpg""]",Animation Xpress India Pvt Ltd,Anime India | Delhi|Pop Culture Fairs|Fests & Fairs,2026-05-17T13:57:51.399Z
www.district.in,https://www.district.in/events/tata-ipl-2026-match-62--delhi-capitals-vs-rajasthan-royals-buy-tickets,https://www.district.in/events/tata-ipl-2026-match-62--delhi-capitals-vs-rajasthan-royals-buy-tickets,TATA IPL 2026: Match 62 | Delhi Capitals vs Rajasthan Royals,$1f,2026-05-17T14:00:00.000Z,2026-05-17T17:00:00.000Z,Arun Jaitley Stadium,New Delhi,New Delhi,1700 onwards,INR,"https://media.insider.in/image/upload/c_crop,g_custom,q_auto/v1778487430/folpts69uhnkf9zsbwza.jpg","[""https://media.insider.in/image/upload/c_crop,g_custom,q_auto/v1778487430/folpts69uhnkf9zsbwza.jpg"",""https://media.insider.in/image/upload/c_crop,g_custom,q_auto/v1778487448/ucg3e6caevdzwaidik4b.jpg""]",JSW GMR Cricket Pvt. Ltd.,TATA IPL 2026: Match 62 | Delhi Capitals vs Rajasthan Royals|Sports|Cricket Matches,2026-05-17T13:57:51.527Z
